date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:16	78376/78376	---MCZ	200	added ('OK')	text/html	etag:W/%225db544c9-13228%22	https://html.waituk.com/entrada/index.html	/Users/zactyh/websites/2102%20skeleton/html.waituk.com/entrada/index.html	(from )
13:32:17	178/178	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Sep%202020%2005:32:16%20GMT	https://html.waituk.com/robots.txt		(from )
13:32:18	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Sep%202020%2005:32:18%20GMT	https://html-i0ipxhws.netdna-ssl.com/entrada/img/favicon-16x16.png	/Users/zactyh/websites/2102%20skeleton/html-i0ipxhws.netdna-ssl.com/entrada/img/favicon-16x16.1.delayed	(from https://html.waituk.com/entrada/index.html)
13:32:18	679/679	---M--	200	added ('OK')	image/png	etag:%2259d484ed-2a7%22	https://html.waituk.com/entrada/img/favicon-16x16.png	/Users/zactyh/websites/2102%20skeleton/html.waituk.com/entrada/img/favicon-16x16.png	(from https://html.waituk.com/entrada/index.html)
13:32:19	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Sep%202020%2005:32:19%20GMT	https://html-i0ipxhws.netdna-ssl.com/entrada/vendors/font-awesome/css/font-awesome.css	/Users/zactyh/websites/2102%20skeleton/html-i0ipxhws.netdna-ssl.com/entrada/vendors/font-awesome/css/font-awesome.css	(from https://html.waituk.com/entrada/index.html)
13:32:21	32318/32318	---MCZ	200	added ('OK')	text/css	etag:W/%2255e57d1e-7e3e%22	https://html.waituk.com/entrada/vendors/font-awesome/css/font-awesome.css	/Users/zactyh/websites/2102%20skeleton/html.waituk.com/entrada/vendors/font-awesome/css/font-awesome.css	(from https://html.waituk.com/entrada/index.html)
13:32:21	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Sep%202020%2005:32:21%20GMT	https://html-i0ipxhws.netdna-ssl.com/entrada/vendors/material-design-icons/material-icons.css	/Users/zactyh/websites/2102%20skeleton/html-i0ipxhws.netdna-ssl.com/entrada/vendors/material-design-icons/material-icons.css	(from https://html.waituk.com/entrada/index.html)
13:32:23	970/970	---MCZ	200	added ('OK')	text/css	etag:W/%2256efa7b6-3ca%22	https://html.waituk.com/entrada/vendors/material-design-icons/material-icons.css	/Users/zactyh/websites/2102%20skeleton/html.waituk.com/entrada/vendors/material-design-icons/material-icons.css	(from https://html.waituk.com/entrada/index.html)
13:32:23	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Sep%202020%2005:32:23%20GMT	https://html-i0ipxhws.netdna-ssl.com/entrada/css/fonts/icomoon/icomoon.css	/Users/zactyh/websites/2102%20skeleton/html-i0ipxhws.netdna-ssl.com/entrada/css/fonts/icomoon/icomoon.css	(from https://html.waituk.com/entrada/index.html)
13:32:25	6416/6416	---MCZ	200	added ('OK')	text/css	etag:W/%2257baaf02-1910%22	https://html.waituk.com/entrada/css/fonts/icomoon/icomoon.css	/Users/zactyh/websites/2102%20skeleton/html.waituk.com/entrada/css/fonts/icomoon/icomoon.css	(from https://html.waituk.com/entrada/index.html)
